Sat Feb 23 13:59:52 +0000 2019,venkatkarthik27,"b'RT @JanaSenaParty: ""  ""\n\nJanaSena Chief @PawanKalyan Kurnool road show \n\nFebruary 24th, 2 PM. \n\nC Camp  '"
Sat Feb 23 13:59:58 +0000 2019,sumanth_kaveti,"b'RT @thetimes24: Naidus TDP, Reddys YSR Congress JOINED Hands To Damage Pawan Kalyans JanaSena? - https://t.co/Weue5htBgh https://t.co/Ey'"
Sat Feb 23 13:59:59 +0000 2019,USuggala,"b'RT @JanaSenaParty: ""  ""\n\nJanaSena Chief @PawanKalyan Kurnool road show \n\nFebruary 24th, 2 PM. \n\nC Camp  '"
Sat Feb 23 14:00:06 +0000 2019,Prasadn17935925,b'That is janasenani'
Sat Feb 23 14:00:12 +0000 2019,Ghousem95938134,"b'RT @RambandreddiJsp: JanaSena Chief @PawanKalyan Kurnool road show\n February 24th, 2 PM. \nC Camp    , .\n@H'"
Sat Feb 23 14:00:14 +0000 2019,Manikan87498732,"b'RT @JanaSenaParty: ""  ""\n\nJanaSena Chief @PawanKalyan Kurnool road show \n\nFebruary 24th, 2 PM. \n\nC Camp  '"
Sat Feb 23 14:00:15 +0000 2019,NarendraOlive,b'RT @jaGUN_1974:     \n\n        ..\n\n  '
Sat Feb 23 14:00:21 +0000 2019,Vasu_Rajahmndry,"b'RT @SriVijayaNagesh: ""  \n    \n   \n'"
Sat Feb 23 14:00:31 +0000 2019,Manikan87498732,"b'RT @Kapilvarala: ""  ""\n\nJanaSena Chief @PawanKalyan Kurnool road show \n\nFebruary 24th, 2 PM. \n\nC Camp  '"
Sat Feb 23 14:00:32 +0000 2019,skjanasena,"b'RT @SriVijayaNagesh: ""  \n    \n   \n'"
Sat Feb 23 14:00:41 +0000 2019,Ghousem95938134,b'RT @SrinuIndian1:    \n   \n   \n   \n  \n  '
Sat Feb 23 14:00:47 +0000 2019,imSaikmr,"b'RT @SriVijayaNagesh: ""  \n    \n   \n'"
Sat Feb 23 14:00:47 +0000 2019,Ghousem95938134,"b'RT @MaheshGinugu: #JanaSena Chief @PawanKalyan road show in Kurnool tomorrow, February 24th, 2 PM. \n\nC Camp    ,'"
Sat Feb 23 14:00:47 +0000 2019,sreeroger,b'RT @B0KKAARD: @CultFanIkkada @NTR_addictt @tarakuday9999 Lite tesko wasting ur energy \nVelato argue chesi elago vote eyaru \n\ndenikana groun'
Sat Feb 23 14:00:53 +0000 2019,Ghousem95938134,b'RT @appusammangi: Today 23.02.2019 Janasena Activists Protest near GVMC zone 3 commissioner office regarding removal of two janasena flag p'
Sat Feb 23 14:01:13 +0000 2019,NickNameVCD1,b'RT @BATTULAKALYAN3: @DarlingFanShiva @PanduGadu2_0 @urstrulyRaghu1 @MBofficialTeam @MaheshBabu_FC @OkkadiFanIkada @MaheshFan4ever_ @jrntr @'
Sat Feb 23 14:01:29 +0000 2019,Srilath62826350,"b'RT @naren959:    , Janasena        .\nThis week:talk to pape'"
Sat Feb 23 14:01:42 +0000 2019,Ghousem95938134,b'RT @vizianagaramVZM:       .\n#PawanKalyan #Pawan #JSPForNewAgePolitics #JanaSena #JanaSenaParty'
Sat Feb 23 14:02:00 +0000 2019,Vinuvinodreddy,"b'RT @SriVijayaNagesh: ""  \n    \n   \n'"
Sat Feb 23 14:02:06 +0000 2019,Palla11284266,"b'RT @JanaSenaParty: ""  ""\n\nJanaSena Chief @PawanKalyan Kurnool road show \n\nFebruary 24th, 2 PM. \n\nC Camp  '"
Sat Feb 23 14:02:23 +0000 2019,Palla11284266,b'RT @SriVijayaNagesh:        .       .    '
Sat Feb 23 14:02:28 +0000 2019,JanaSenaParty,b'Special Video - JanaSena Chief @PawanKalyan Quotes Great Personalities...\n\nhttps://t.co/MVJ9yqkOsL'
Sat Feb 23 14:02:39 +0000 2019,Manikan87498732,b'RT @JanaSenaParty: Special Video - JanaSena Chief @PawanKalyan Quotes Great Personalities...\n\nhttps://t.co/MVJ9yqkOsL'
Sat Feb 23 14:02:40 +0000 2019,pkkanth,b'RT @JanaSenaParty: Special Video - JanaSena Chief @PawanKalyan Quotes Great Personalities...\n\nhttps://t.co/MVJ9yqkOsL'
Sat Feb 23 14:02:40 +0000 2019,Shannu44628802,b'RT @JanaSenaParty: Special Video - JanaSena Chief @PawanKalyan Quotes Great Personalities...\n\nhttps://t.co/MVJ9yqkOsL'
Sat Feb 23 14:02:42 +0000 2019,PavannPSPK,b'RT @JanaSenaParty: Special Video - JanaSena Chief @PawanKalyan Quotes Great Personalities...\n\nhttps://t.co/MVJ9yqkOsL'
Sat Feb 23 14:02:42 +0000 2019,Janasainik4,b'RT @JanaSenaParty: Special Video - JanaSena Chief @PawanKalyan Quotes Great Personalities...\n\nhttps://t.co/MVJ9yqkOsL'
Sat Feb 23 14:02:42 +0000 2019,pawandangeti,b'RT @JanaSenaParty: Special Video - JanaSena Chief @PawanKalyan Quotes Great Personalities...\n\nhttps://t.co/MVJ9yqkOsL'
Sat Feb 23 14:02:44 +0000 2019,venkatkarthik27,b'RT @JanaSenaParty: Special Video - JanaSena Chief @PawanKalyan Quotes Great Personalities...\n\nhttps://t.co/MVJ9yqkOsL'
Sat Feb 23 14:02:44 +0000 2019,GaNiPawanist,b'RT @JanaSenaParty: Special Video - JanaSena Chief @PawanKalyan Quotes Great Personalities...\n\nhttps://t.co/MVJ9yqkOsL'
Sat Feb 23 14:02:47 +0000 2019,fanboy_pspk,b'RT @JanaSenaParty: Special Video - JanaSena Chief @PawanKalyan Quotes Great Personalities...\n\nhttps://t.co/MVJ9yqkOsL'
Sat Feb 23 14:02:49 +0000 2019,velugusrikanth,b'RT @JanaSenaParty: Special Video - JanaSena Chief @PawanKalyan Quotes Great Personalities...\n\nhttps://t.co/MVJ9yqkOsL'
Sat Feb 23 14:02:49 +0000 2019,NtvteluguHD,b'        : @KTRTRS \n\n#NtvTelugu #PawanKalyan #JanaSena #KTR https://t.co/cgYlJZAfcx'
